ダウンロードした時刻：2023/07/20 12:12:46

,東京,東京,東京,東京,東京,東京,東京,東京,東京
年月日,平均気温(℃),平均気温(℃),平均気温(℃),最高気温(℃),最高気温(℃),最高気温(℃),最低気温(℃),最低気温(℃),最低気温(℃)
,,,,,,,,,
,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号
1932/6/22,20.1,8,1,23.6,8,1,17.6,8,1
1932/6/23,20.8,8,1,23.5,8,1,17.7,8,1
1932/6/24,21.4,8,1,25.4,8,1,17.2,8,1
1932/6/25,23.1,8,1,26.6,8,1,19.4,8,1
1932/6/26,22.1,8,1,25.7,8,1,18.4,8,1
1932/6/27,22.1,8,1,25.9,8,1,17.2,8,1
1932/6/28,20.6,8,1,25.4,8,1,17.6,8,1
1932/6/29,19.3,8,1,22.8,8,1,16.5,8,1
1932/6/30,20.5,8,1,25.3,8,1,14.3,8,1
1932/7/1,20.6,8,1,23.1,8,1,18.9,8,1
1932/7/2,23.0,8,1,24.5,8,1,19.8,8,1
1932/7/3,24.4,8,1,29.3,8,1,21.2,8,1
1932/7/4,23.5,8,1,27.7,8,1,19.7,8,1
1932/7/5,24.0,8,1,27.7,8,1,20.3,8,1
1932/7/6,23.9,8,1,26.8,8,1,21.6,8,1
1932/7/7,25.2,8,1,27.9,8,1,23.0,8,1
1932/7/8,25.2,8,1,29.6,8,1,23.1,8,1
1932/7/9,24.7,8,1,28.2,8,1,22.1,8,1
1932/7/10,24.8,8,1,28.2,8,1,21.9,8,1
1932/7/11,23.4,8,1,26.2,8,1,20.7,8,1
1932/7/12,26.4,8,1,30.6,8,1,22.5,8,1
1932/7/13,26.2,8,1,30.5,8,1,23.2,8,1
1932/7/14,24.4,8,1,27.8,8,1,22.2,8,1
1932/7/15,23.5,8,1,27.3,8,1,21.4,8,1
1932/7/16,20.9,8,1,22.2,8,1,19.3,8,1
1932/7/17,20.9,8,1,23.8,8,1,18.0,8,1
1932/7/18,23.8,8,1,26.8,8,1,21.6,8,1
1932/7/19,25.4,8,1,29.6,8,1,21.6,8,1
1932/7/20,26.6,8,1,30.1,8,1,23.5,8,1
1932/7/21,28.3,8,1,32.9,8,1,24.6,8,1
1932/7/22,28.5,8,1,32.7,8,1,25.0,8,1
1932/7/23,28.1,8,1,32.8,8,1,24.3,8,1
1932/7/24,28.8,8,1,33.8,8,1,24.6,8,1
1932/7/25,28.2,8,1,32.6,8,1,25.0,8,1
1932/7/26,28.5,8,1,32.3,8,1,24.2,8,1
1932/7/27,28.3,8,1,33.1,8,1,25.2,8,1
1932/7/28,28.3,8,1,33.4,8,1,23.3,8,1
1932/7/29,28.8,8,1,33.1,8,1,25.0,8,1
1932/7/30,29.7,8,1,34.7,8,1,25.1,8,1
1932/7/31,29.5,8,1,33.2,8,1,25.5,8,1
1932/8/1,27.7,8,1,32.1,8,1,25.6,8,1
1932/8/2,28.8,8,1,34.4,8,1,24.4,8,1
1932/8/3,28.4,8,1,33.4,8,1,24.7,8,1
1932/8/4,29.2,8,1,34.4,8,1,25.7,8,1
1932/8/5,28.2,8,1,30.6,8,1,25.9,8,1
1932/8/6,28.7,8,1,33.4,8,1,25.9,8,1
1932/8/7,27.1,8,1,30.8,8,1,24.4,8,1
1932/8/8,27.0,8,1,31.7,8,1,23.3,8,1
1932/8/9,27.8,8,1,31.4,8,1,24.6,8,1
1932/8/10,28.1,8,1,32.4,8,1,24.0,8,1
1932/8/11,28.1,8,1,31.9,8,1,25.8,8,1
1932/8/12,27.8,8,1,31.3,8,1,25.1,8,1
1932/8/13,29.1,8,1,32.6,8,1,26.2,8,1
1932/8/14,28.0,8,1,32.2,8,1,24.2,8,1
1932/8/15,28.0,8,1,31.4,8,1,25.0,8,1
1932/8/16,25.1,8,1,29.0,8,1,22.9,8,1
1932/8/17,26.0,8,1,29.9,8,1,22.0,8,1
1932/8/18,24.1,8,1,26.9,8,1,22.3,8,1
1932/8/19,25.1,8,1,29.7,8,1,22.2,8,1
1932/8/20,25.9,8,1,29.8,8,1,22.3,8,1
1932/8/21,27.7,8,1,32.9,8,1,25.0,8,1
1932/8/22,25.5,8,1,29.9,8,1,22.9,8,1
1932/8/23,26.3,8,1,31.7,8,1,22.2,8,1
1932/8/24,25.7,8,1,29.4,8,1,23.5,8,1
